ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Crediting Period Start Date,Crediting Period End Date
5052,Tech-Bank Swine Manure Composting Project in Jiangsu Province,"Tech-Bank Food Co., Ltd.","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.; AMS-III.F.,Under validation,China,56436,,01-11-2022,31-10-2032
5046,Yangquan Guzhuang 8MW CMM Power Generation Project,Yangquan Zhonglian Energy Technology Co.,"Energy industries (renewable/non-renewable sources); Fugitive emissions from fuels (solid, oil and gas); Mining/mineral production",,ACM0008,Under validation,China,249831,Asia,28-10-2022,27-10-2029
5047,"EARTH MAA LLC- BAMBOO, CASHEWNUT AND MANGO PLANTATIONS FOR FARMERS ECONOMIC UPGRADE",EARTH MAA LLC,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,India,468439,Asia,01-04-2021,31-03-2041
5049,Heilongjiang Zhaoyuan Improved Agricultural Land Management Project,"Zhaoyuan Qingyuan Agricultural Development Group Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,China,131510,Asia,07-04-2021,06-04-2061
5042,East Africa Soil and Biodiversity improvement project,eAgronom Africa OÜ,Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,Rwanda,163620,Africa,01-03-2023,28-02-2043
5043,BRAZILIAN REGENERATIVE AGRICULTURE FOR CERRADO’S CARBON CREDIT (BRA-3C),MyCarbon3,Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,Brazil,259046,Latin America,01-01-2024,31-12-2043
5044,ARAGUAIA REDD+ BOCALON PROJECT,Nova-Agri Infra-Estrutura De Armazenagem E Escoamento Agricola S.A.A.,Agriculture Forestry and Other Land Use,REDD,VM0015,Under validation,Brazil,33567,Latin America,01-07-2023,30-06-2043
5036,"Afforestation Project in Nantou, Taiwan","APh ePower Co., Ltd.",Agriculture Forestry and Other Land Use,ARR; IFM,VM0047,Under validation,Taiwan,156,Asia,,
5037,Viet Nam Improved Cookstove Project by KCM – Improved Cookstove Project in Hoa Binh Province – CPA 001 - CER Conversion,Converted from other GHG program,Energy demand,,AMS-II.G.,Units Transferred from Approved GHG Program,Viet Nam,44888,Asia,06-12-2018,05-12-2046
5038,Nigeria Community-based Forestry Project,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR; REDD,VM0047; VM0048,Under development,Nigeria,127294,Africa,27-03-2024,26-03-2044
